"Timestamp","Have you participated in a carpool before?","What (if anything) has gotten in the way of participating in a carpool?","On a scale of 1 to 5, would the ability for you to be (1) automatically grouped with coworkers or peers in a carpool and (2) given a time-optimized route (for the driver) make you consider using one?","What (if anything) did you like about/incentivized your participation in a carpool?","On a scale of 1 to 5, would the ability for you to be (1) automatically grouped with coworkers or peers in a carpool and (2) given a time-optimized route (for the driver) make you consider using one again/more?","What is your gender?","Into which age group do you fit?","What is your annual household income?","What is your primary mode of transportation?","What is your ethnicity or race?","Do you have any feedback about this survey or application idea?"
"2016/07/28 5:38:03 PM EST","No","Use my own car","2","","","Female","36-45 years old","Prefer not to say","Car or motorcycle","White",""
"2016/07/28 5:38:53 PM EST","Yes","","","Eco-friendly","2","Female","36-45 years old","$30,000-$45,000/year","Car or motorcycle","Black or African American",""
"2016/07/28 5:44:53 PM EST","Yes","","","Have coworkers/peers who live nearby;Eco-friendly","4","Female","26-35 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:46:14 PM EST","No","Don’t know if anyone lives nearby;Use my own car","4","","","Male","26-35 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 5:48:52 PM EST","No","Don’t know if anyone lives nearby;Use my own car;Use Lyft, Uber, taxi, or other ridesharing service;Use public transit","4","","","Male","26-35 years old","More than $90,000/year","Car or motorcycle","White",""
"2016/07/28 5:53:29 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly","4","Female","36-45 years old","$45,000-$60,000/year","Car or motorcycle","White",""
"2016/07/28 5:54:54 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Use public transit","4","","","Male","26-35 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 5:59:43 PM EST","No","Don’t know if anyone lives nearby;Use my own car;Nervous about trusting someone to show up","4","","","Female","18-25 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 6:06:40 PM EST","Yes","","","shared cost of gas, can nap to/from destination","4","Female","18-25 years old","Prefer not to say","Car or motorcycle","Asian or Pacific Islander","put age ranges and household income in order"
"2016/07/28 6:07:42 PM EST","Yes","","","Convenience;Stress-free commute","4","Male","26-35 years old","Prefer not to say","Car or motorcycle","White",""
"2016/07/28 6:10:05 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly","4","Male","18-25 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 6:23:26 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Stress-free commute;Eco-friendly","4","Female","26-35 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 6:37:06 PM EST","No","Don’t know if anyone lives nearby;Use my own car","4","","","Male","36-45 years old","$30,000-$45,000/year","Car or motorcycle","White",""
"2016/07/28 6:40:36 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Use my own car;Use Lyft, Uber, taxi, or other ridesharing service","4","","","Female","26-35 years old","$30,000-$45,000/year","Car or motorcycle","Asian or Pacific Islander","One big issue for me is trust too. Carpooling with Prime is very attractive to me. Carpooling with strangers is not."
"2016/07/28 6:42:35 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly;Less $ spent on gas","4","Male","18-25 years old","$45,000-$60,000/year","Car or motorcycle","White",""
"2016/07/28 6:55:58 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly","3","Male","26-35 years old","$45,000-$60,000/year","Car or motorcycle","White",""
"2016/07/28 7:07:20 PM EST","No","Too much of a hassle to plan;Use my own car;Too much trouble dividing the expenses incurred by the car owner","4","","","Male","26-35 years old","$60,000-$90,000/year","Car or motorcycle","Hispanic or Latino",""
"2016/07/28 7:20:00 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly","4","Male","36-45 years old","More than $90,000/year","Car or motorcycle","White",""
"2016/07/28 7:23:26 PM EST","No","Use my own car","2","","","Male","26-35 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 7:35:50 PM EST","Yes","","","Don't have a car","4","Female","18-25 years old","Less than $30,000/year","Public transit (bus, train, subway, etc.)","White",""
"2016/07/28 7:59:21 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly;Carpool lane","4","Female","26-35 years old","Prefer not to say","Car or motorcycle","White","If the app could help find convenient pick up locations that would be nice too. Especially for people living down town w/ traffic, one ways and not a lot of places to stop."
"2016/07/28 8:32:12 PM EST","No","Don’t know if anyone lives nearby;Schedule week to week with kids is inconsistent","3","","","Female","36-45 years old","More than $90,000/year","Car or motorcycle","White",""
"2016/07/28 8:39:29 PM EST","No","Too much of a hassle to plan;Use my own car","4","","","Male","36-45 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 8:50:58 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Don't have a car","5","Male","26-35 years old","$60,000-$90,000/year","Public transit (bus, train, subway, etc.)","White",""
"2016/07/28 8:59:23 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Use my own car","3","","","Female","26-35 years old","Prefer not to say","Car or motorcycle","White","I love your survey:)"
"2016/07/28 9:35:18 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Eco-friendly","3","Female","26-35 years old","Prefer not to say","Car or motorcycle","White",""
"2016/07/28 9:59:25 PM EST","No","Too much of a hassle to plan;Too much time required;Use my own car;Use public transit","2","","","Female","26-35 years old","More than $90,000/year","Car or motorcycle","White",""
"2016/07/28 10:32:15 PM EST","Yes","","","Have coworkers/peers who live nearby","3","Prefer not to say","36-45 years old","Prefer not to say","Car or motorcycle","White",""
"2016/07/28 11:01:57 PM EST","Yes","","","Have coworkers/peers who live nearby;Don't have a car;Eco-friendly","4","Female","36-45 years old","More than $90,000/year","Car or motorcycle","White","Having a child in a car seat is hard to negotiate with a car pool. "
